Time,0,1,2,3,4,5
2011-06-15 00:06:32,12711,3,0,15,0,0
2011-06-15 03:38:23,29,3,2,15,0,5
2011-06-15 03:38:52,130,3,5,15,2,5
2011-06-15 03:41:02,33,3,5,15,5,0
2011-06-15 03:41:35,196,3,0,15,5,0
2011-06-15 03:44:51,8697,6,0,15,0,15
2011-06-15 06:09:48,696,6,6,15,0,18
2011-06-15 06:21:24,656,6,11,15,6,12
2011-06-15 06:32:20,597,6,0,15,11,19
2011-06-15 06:42:17,603,6,12,15,0,12
2011-06-15 06:52:20,601,7,7,15,12,7
2011-06-15 07:02:21,664,7,8,15,7,13
2011-06-15 07:13:25,600,7,23,15,8,13
2011-06-15 07:23:25,670,7,23,15,23,23
2011-06-15 07:34:35,710,7,9,15,23,9
2011-06-15 07:46:25,364,7,16,15,9,19
2011-06-15 07:52:29,423,7,6,15,16,6
2011-06-15 07:59:32,231,8,12,15,6,12
2011-06-15 08:03:23,546,8,9,15,12,19
2011-06-15 08:12:29,601,8,21,15,9,21
2011-06-15 08:22:30,601,8,22,15,21,22
2011-06-15 08:32:31,600,8,6,15,22,6
2011-06-15 08:42:31,212,8,0,15,6,0
2011-06-15 08:46:03,33,8,2,15,0,4
2011-06-15 08:46:36,122,8,5,15,2,5
2011-06-15 08:48:38,51,8,5,15,5,5
2011-06-15 08:49:29,17,8,5,15,5,27
2011-06-15 08:49:46,21,8,33,15,5,33
2011-06-15 08:50:07,27,8,33,15,33,33
2011-06-15 08:50:34,16,8,31,15,33,31
2011-06-15 08:50:50,19,8,27,15,31,27
2011-06-15 08:51:09,19,8,2,15,27,23
2011-06-15 08:51:28,42,8,2,15,2,19
2011-06-15 08:52:10,20,8,0,15,2,2
2011-06-15 08:52:30,418,8,0,15,0,9
2011-06-15 08:59:28,430,9,12,15,0,19
2011-06-15 09:06:38,323,9,2,15,12,0
2011-06-15 09:12:01,436,9,0,15,2,0
2011-06-15 09:19:17,194,9,23,15,0,6
2011-06-15 09:22:31,599,9,2,15,23,11
2011-06-15 09:32:30,514,9,0,15,2,20
2011-06-15 09:41:04,423,9,0,15,0,0
2011-06-15 09:48:07,26,9,0,15,0,16
2011-06-15 09:48:33,16,9,2,15,0,4
2011-06-15 09:48:49,19,9,5,15,2,1
2011-06-15 09:49:08,101,9,5,15,5,5
2011-06-15 09:50:49,101,9,5,15,5,5
2011-06-15 09:52:30,21,9,5,15,5,27
2011-06-15 09:52:51,36,9,27,15,5,37
2011-06-15 09:53:27,29,9,27,15,27,37
2011-06-15 09:53:56,10,9,38,15,27,38
2011-06-15 09:54:06,13,9,5,15,38,5
2011-06-15 09:54:19,30,9,5,15,5,5
2011-06-15 09:54:49,53,9,5,15,5,4
2011-06-15 09:55:42,44,9,2,15,5,2
2011-06-15 09:56:26,61,9,2,15,2,3
2011-06-15 09:57:27,15,9,26,15,2,27
2011-06-15 09:57:42,37,9,27,15,26,8
2011-06-15 09:58:19,19,9,31,15,27,10
2011-06-15 09:58:38,128,10,42,15,31,43
2011-06-15 10:00:46,25,10,42,15,42,42
2011-06-15 10:01:11,105,10,44,15,42,10
2011-06-15 10:02:56,332,10,41,15,44,10
2011-06-15 10:08:28,536,10,41,15,41,19
2011-06-15 10:17:24,555,10,10,15,41,41
